starId,lambdaEff,filter,referenceId,magAverage,magError,stdError,amplitudeEff
HD27309,440,41,22.2,4.2415,0.0023,0.0120,0.0535
HD27309,550,42,22.2,5.3683,0.0008,0.0069,0.0509
HD27309,450,43,22.2,5.0746,0.0031,0.0146,0.0510
HD27309,440,44,22.2,5.7783,0.0024,0.0132,0.0535
HD27309,550,45,22.2,6.0604,0.0025,0.0131,0.0509
HD27309,581,46,22.2,6.5391,0.0026,0.0145,0.0670
HD27309,350,50,23,-1.2940,0.0060,0.0229,0.1147
HD27309,360,51,23,-1.0806,0.0044,0.0172,0.0971
HD27309,410,52,23,-0.8484,0.0021,0.0083,0.0397
HD27309,465,53,23,-0.5135,0.0034,0.0146,0.0614
HD27309,510,54,23,-0.3385,0.0085,0.0211,0.0560
HD27309,550,55,23,-0.2773,0.0036,0.0132,0.0509
HD27309,635,56,23,-0.1483,0.0039,0.0137,0.0600
HD27309,635,57,23,-0.0636,0.0047,0.0152,0.0600
HD27309,740,58,23,0.0528,0.0042,0.0135,0.0622
HD27309,740,59,23,0.1312,0.0059,0.0191,0.0622
HD27309,350,50,24,-1.2988,0.0017,0.0082,0.1147
HD27309,360,51,24,-1.0858,0.0020,0.0095,0.0971
HD27309,410,52,24,-0.8364,0.0010,0.0051,0.0397
HD27309,465,53,24,-0.5285,0.0023,0.0128,0.0614
HD27309,510,54,24,-0.3441,0.0050,0.0158,0.0560
HD27309,550,55,24,-0.2754,0.0012,0.0056,0.0509
HD27309,635,56,24,-0.1427,0.0015,0.0065,0.0600
HD27309,635,57,24,-0.0586,0.0013,0.0055,0.0600
HD27309,740,58,24,0.0551,0.0019,0.0081,0.0622
HD27309,740,59,24,0.1236,0.0023,0.0095,0.0622
HD28843,2200,7,6,6.0692,0.0064,0.0170,0.0825
HD28843,2200,8,6,6.1010,0.0075,0.0199,0.0825
HD28843,2200,9,6,6.1591,0.0176,0.0465,0.0825
HD28843,2200,10,6,6.1019,0.0106,0.0280,0.0825
HD28843,2200,11,6,5.7301,0.0831,0.2082,0.0825
HD28843,350,20,26,6.2405,0.0011,0.0028,0.1466
HD28843,410,21,26,5.7618,0.0021,0.0062,0.1261
HD28843,465,22,26,5.7245,0.0022,0.0071,0.1148
HD28843,550,23,26,5.7745,0.0016,0.0054,0.0909
HD28843,440,41,46,4.6267,0.0015,0.0077,0.1288
HD28843,550,42,46,5.7503,0.0014,0.0074,0.0909
HD28843,350,20,92,6.2195,0.0036,0.0187,0.1466
HD28843,410,21,92,5.7559,0.0015,0.0083,0.1261
HD28843,465,22,92,5.7085,0.0012,0.0072,0.1148
HD28843,550,23,92,5.7639,0.0014,0.0086,0.0909
HD28843,350,20,93,6.2559,0.0023,0.0144,0.1466
HD28843,410,21,93,5.7681,0.0021,0.0142,0.1261
HD28843,465,22,93,5.7174,0.0014,0.0098,0.1148
HD28843,550,23,93,5.7717,0.0013,0.0099,0.0909
HD28843,350,20,97,6.2577,0.0037,0.0082,0.1466
HD28843,410,21,97,5.7741,0.0043,0.0118,0.1261
HD28843,465,22,97,5.7217,0.0046,0.0120,0.1148
HD28843,550,23,97,5.7741,0.0044,0.0118,0.0909
HD29009,350,20,92,6.3488,0.0013,0.0217,-0.0111
HD29009,410,21,92,5.7490,0.0000,0.0000,0.0000
HD29009,465,22,92,5.6740,0.0000,0.0000,0.0000
HD29009,550,23,92,5.7180,0.0000,0.0000,0.0000
HD29009,350,20,93,6.3772,0.0013,0.0195,-0.0111
HD29009,410,21,93,5.7332,0.0000,0.0160,0.0000
HD29009,465,22,93,5.6666,0.0001,0.0142,0.0000
HD29009,550,23,93,5.7202,0.0000,0.0117,0.0000
HD30849,350,20,4,10.6388,0.0020,0.0066,0.0448
HD30849,410,21,4,9.4516,0.0043,0.0185,0.0912
HD30849,465,22,4,9.0172,0.0000,0.0165,0.0297
HD30849,550,23,4,8.8568,0.0054,0.0126,0.0033
HD30849,550,3,27.2,8.8584,0.0022,0.0070,0.0033
HD30849,350,20,27.1,0.9829,0.0012,0.0071,0.0448
HD30849,410,21,27.1,0.9557,0.0013,0.0091,0.0912
HD30849,350,20,29,0.9789,0.0085,0.0191,0.0448
HD30849,410,21,29,0.9509,0.0110,0.0334,0.0912
HD30849,465,22,29,0.8255,0.0000,0.0000,0.0297
HD30849,550,23,29,0.7898,0.0204,0.0295,0.0033
HD32633,360,1,7,6.5910,0.0019,0.0085,-0.0441
HD32633,440,2,7,7.0130,0.0015,0.0059,-0.0299
HD32633,550,3,7,7.0621,0.0015,0.0063,-0.0238
HD32633,350,20,30,-0.2584,0.0004,0.0033,-0.0471
HD32633,410,21,30,0.2836,0.0003,0.0029,-0.0276
HD32633,465,22,30,0.4364,0.0003,0.0024,-0.0277
HD32633,550,23,30,0.5494,0.0003,0.0028,-0.0238
HD32633,350,20,87,-0.2648,0.0005,0.0035,-0.0471
HD32633,410,21,87,0.2872,0.0004,0.0030,-0.0276
HD32633,465,22,87,0.4490,0.0005,0.0040,-0.0277
HD32633,550,23,87,0.5607,0.0004,0.0031,-0.0238
HD32650,350,20,37,-0.7412,0.0006,0.0045,-0.1091
HD32650,410,21,37,-0.4227,0.0005,0.0040,-0.0461
HD32650,465,22,37,-0.4805,0.0005,0.0035,-0.0480
HD32650,550,23,37,-0.3801,0.0004,0.0032,-0.0403
HD32966,350,20,4,7.7108,0.0047,0.0095,-0.1623
HD32966,410,21,4,7.1463,0.0085,0.0163,-0.1463
HD32966,465,22,4,7.0827,0.0091,0.0211,-0.1255
HD32966,550,23,4,7.1228,0.0052,0.0098,-0.0992
HD32966,350,20,31,1.6009,0.0007,0.0050,-0.1623
HD32966,410,21,31,1.1067,0.0007,0.0049,-0.1463
HD32966,465,22,31,1.0495,0.0004,0.0038,-0.1255
HD32966,550,23,31,0.9903,0.0005,0.0038,-0.0992
HD34364,350,20,45,-0.8681,0.0010,0.0044,0.0000
HD34364,410,21,45,-0.7377,0.0012,0.0053,0.0000
HD34364,465,22,45,-0.5072,0.0014,0.0064,0.0000
HD34364,550,23,45,-0.3447,0.0011,0.0047,0.0000
HD34364,350,20,45,1.5581,0.0010,0.0046,0.0000
HD34364,410,21,45,1.6652,0.0011,0.0052,0.0000
HD34364,465,22,45,1.8627,0.0010,0.0047,0.0000
HD34364,550,23,45,2.0269,0.0014,0.0067,0.0000
HD35298,350,20,92,8.3365,0.0028,0.0202,-0.0628
HD35298,410,21,92,7.9144,0.0019,0.0129,-0.0370
HD35298,465,22,92,7.8654,0.0012,0.0081,-0.0385
HD35298,550,23,92,7.9257,0.0012,0.0100,-0.0290
HD35298,350,20,93,8.3635,0.0033,0.0198,-0.0628
HD35298,410,21,93,7.9239,0.0027,0.0151,-0.0370
HD35298,465,22,93,7.8643,0.0015,0.0084,-0.0385
HD35298,550,23,93,7.9212,0.0012,0.0084,-0.0290
HD35298,350,20,102,0.8376,0.0006,0.0061,-0.0628
HD35298,410,21,102,1.1812,0.0004,0.0039,-0.0370
HD35298,465,22,102,1.2123,0.0004,0.0038,-0.0385
HD35298,550,23,102,1.2422,0.0004,0.0042,-0.0290
HD36668,350,20,32,1.2476,0.0007,0.0077,-0.0320
HD36668,410,21,32,1.3494,0.0006,0.0057,-0.0204
HD36668,465,22,32,1.3612,0.0005,0.0045,-0.0198
HD36668,550,23,32,1.3912,0.0005,0.0051,-0.0140
HD37210,350,20,92,8.8382,0.0014,0.0148,-0.0482
HD37210,410,21,92,8.1732,0.0011,0.0104,-0.0400
HD37210,465,22,92,8.0851,0.0008,0.0079,-0.0389
HD37210,550,23,92,8.1276,0.0008,0.0084,-0.0212
HD37210,350,20,93,8.8763,0.0007,0.0129,-0.0482
HD37210,410,21,93,8.1943,0.0008,0.0131,-0.0400
HD37210,465,22,93,8.0875,0.0005,0.0087,-0.0389
HD37210,550,23,93,8.1246,0.0005,0.0092,-0.0212
HD37210,350,20,97,8.8815,0.0010,0.0093,-0.0482
HD37210,410,21,97,8.1973,0.0008,0.0068,-0.0400
HD37210,465,22,97,8.0889,0.0007,0.0062,-0.0389
HD37210,550,23,97,8.1260,0.0007,0.0056,-0.0212
HD37776,350,20,26,7.0994,0.0004,0.0029,-0.0248
HD37776,410,21,26,6.9873,0.0005,0.0031,-0.0336
HD37776,465,22,26,6.9599,0.0005,0.0038,-0.0267
HD37776,550,23,26,7.0056,0.0005,0.0034,-0.0253
HD37776,350,20,33,-0.6252,0.0007,0.0046,-0.0248
HD37776,410,21,33,-0.6915,0.0010,0.0059,-0.0336
HD37776,465,22,33,-0.7053,0.0006,0.0041,-0.0267
HD37776,550,23,33,-0.7293,0.0007,0.0045,-0.0253
HD37776,350,20,85,0.9272,0.0013,0.0061,-0.0248
HD37776,410,21,85,0.8535,0.0015,0.0057,-0.0336
HD37776,465,22,85,0.8218,0.0012,0.0056,-0.0267
HD37776,550,23,85,0.7863,0.0015,0.0063,-0.0253
HD38823,550,3,27.2,7.3332,0.0015,0.0069,0.0146
HD38823,350,20,27.1,1.4246,0.0013,0.0065,0.0560
HD38823,410,21,27.1,0.8342,0.0014,0.0060,0.1116
HD40312,350,20,37,0.3263,0.0007,0.0054,-0.0702
HD40312,410,21,37,0.8919,0.0009,0.0064,-0.0321
HD40312,465,22,37,0.7279,0.0006,0.0048,-0.0347
HD40312,550,23,37,1.0916,0.0006,0.0042,-0.0280
HD40312,350,20,87,-0.3160,0.0004,0.0040,-0.0702
HD40312,410,21,87,0.0607,0.0004,0.0028,-0.0321
HD40312,465,22,87,0.1419,0.0004,0.0041,-0.0347
HD40312,550,23,87,0.1752,0.0004,0.0031,-0.0280
HD41089,350,20,92,6.8787,0.0009,0.0171,-0.0494
HD41089,410,21,92,6.5387,0.0006,0.0102,-0.0357
HD41089,465,22,92,6.5098,0.0005,0.0073,-0.0353
HD41089,550,23,92,6.5816,0.0005,0.0091,-0.0296
HD41089,350,20,93,6.9129,0.0009,0.0112,-0.0494
HD41089,410,21,93,6.5493,0.0007,0.0071,-0.0357
HD41089,465,22,93,6.5077,0.0007,0.0065,-0.0353
HD41089,550,23,93,6.5857,0.0005,0.0054,-0.0296
HD43819,350,20,33,1.1664,0.0008,0.0087,-0.0441
HD43819,410,21,33,0.9648,0.0005,0.0052,-0.0178
HD43819,465,22,33,0.9375,0.0005,0.0045,-0.0234
HD43819,550,23,33,0.9436,0.0005,0.0045,-0.0209
HD43819,350,20,86,0.1137,0.0011,0.0087,-0.0441
HD43819,410,21,86,-0.1405,0.0009,0.0063,-0.0178
HD43819,465,22,86,-0.2201,0.0011,0.0081,-0.0234
HD43819,550,23,86,-0.2474,0.0008,0.0051,-0.0209
HD49333,350,20,20,-0.9248,0.0028,0.0228,0.0252
HD49333,410,21,20,-0.1409,0.0022,0.0169,0.0263
HD49333,465,22,20,-0.0501,0.0020,0.0140,0.0209
HD49333,550,23,20,0.0162,0.0017,0.0119,0.0146
HD49333,350,20,26,6.3915,0.0047,0.0190,0.0252
HD49333,410,21,26,6.0368,0.0026,0.0097,0.0263
HD49333,465,22,26,6.0093,0.0026,0.0091,0.0209
HD49333,550,23,26,6.0772,0.0025,0.0088,0.0146
HD49606,350,20,17,-0.2576,0.0005,0.0045,-0.0027
HD49606,410,21,17,0.3995,0.0005,0.0044,-0.0015
HD49606,465,22,17,0.5530,0.0006,0.0064,-0.0017
HD49606,550,23,17,0.6372,0.0003,0.0026,-0.0028
HD49606,350,20,17,2.1743,0.0006,0.0040,-0.0027
HD49606,410,21,17,2.8513,0.0009,0.0052,-0.0015
HD49606,465,22,17,2.9605,0.0004,0.0030,-0.0017
HD49606,550,23,17,3.0415,0.0005,0.0033,-0.0028
HD50169,350,20,79,0.6194,0.0005,0.0054,0.0000
HD50169,410,21,79,0.6751,0.0005,0.0052,0.0000
HD50169,465,22,79,0.6223,0.0004,0.0042,0.0000
HD50169,550,23,79,0.6878,0.0004,0.0045,0.0000
HD51418,350,50,24,1.5564,0.0013,0.0061,-0.1087
HD51418,360,51,24,1.6968,0.0013,0.0050,-0.0622
HD51418,410,52,24,1.8763,0.0011,0.0040,-0.0266
HD51418,465,53,24,1.8020,0.0009,0.0055,-0.1303
HD51418,510,54,24,1.8055,0.0029,0.0123,-0.1387
HD51418,550,55,24,1.7887,0.0011,0.0058,-0.1697
HD51418,635,56,24,1.7532,0.0009,0.0049,-0.1852
HD51418,635,57,24,1.7450,0.0005,0.0024,-0.1852
HD51418,740,58,24,1.7611,0.0011,0.0061,-0.1817
HD51418,740,59,24,1.7627,0.0007,0.0032,-0.1817
HD51418,360,1,34,-0.2098,0.0013,0.0061,-0.0622
HD51418,440,2,34,-0.0334,0.0018,0.0080,-0.0813
HD51418,550,3,34,0.3544,0.0010,0.0062,-0.1697
HD51418,350,20,35,-0.2006,0.0029,0.0135,-0.1087
HD51418,410,21,35,-0.0255,0.0070,0.0267,-0.0266
