referenceId,starId,author,bibcode,referenceStarIds
58,HD14392,"Winzer, John Ernest","1974PhDT........61W","HD14212"
0,HD15144,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
6,HD15144,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",""
19,HD15144,"Adelman, S. J.; Boyce, P. W.","1995A&AS..114..253A","HD15130"
77,HD15144,"van Genderen, A. M.","1971A&A....14...48V","HD15798"
115,HD15144,"Adelman, Saul J.; Woodrow, Stephanie L.","2007PASP..119.1256A","HD15130"
0,HD15980,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
17,HD15980,"Adelman, Saul J.","1999A&AS..134...53A","HD16219"
115,HD15980,"Adelman, Saul J.; Woodrow, Stephanie L.","2007PASP..119.1256A","HD16219"
0,HD16004,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
58,HD16004,"Winzer, John Ernest","1974PhDT........61W","HD15683"
0,HD16545,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
112,HD16545,"Adelman, Saul J.","2007PASP..119..980A","HD16004"
0,HD19832,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
91.1,HD19832,"Fried, R. E.; Adelman, S. J.","2003JAD.....9....2F","HD19600"
91.2,HD19832,"Fried, R. E.; Adelman, S. J.","2003JAD.....9....2F","HD19600"
91.3,HD19832,"Fried, R. E.; Adelman, S. J.","2003JAD.....9....2F","HD19600"
91.4,HD19832,"Fried, R. E.; Adelman, S. J.","2003JAD.....9....2F","HD19600"
91.5,HD19832,"Fried, R. E.; Adelman, S. J.","2003JAD.....9....2F","HD19600"
111,HD19832,"Pojmanski, G.","2002AcA....52..397P",""
0,HD20629,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
110,HD20629,"Adelman, Saul J.","2006PASP..118...77A","HD21050"
0,HD22316,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
17.1,HD22316,"Adelman, Saul J.","1999A&AS..134...53A","HD23383"
17.2,HD22316,"Adelman, Saul J.","1999A&AS..134...53A","HD21447"
0,HD22470,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
