0017,15980,"Adelman, Saul J.","1999A&AS..134...53A","HD16219","u(95)v(95)b(95)y(95)"
0115,15980,"Adelman, Saul J.; Woodrow, Stephanie L.","2007PASP..119.1256A","HD16219","u(86)v(86)b(86)y(86)"
0000,16004,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(110)Bt(136)Vt(136)"
0058,16004,"Winzer, John Ernest","1974PhDT........61W","HD15683","U(9)B(9)V(9)"
0000,16545,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(100)Bt(131)Vt(131)"
0112,16545,"Adelman, Saul J.","2007PASP..119..980A","HD16004","u(121)v(121)b(121)y(121)"
0000,19832,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(59)Bt(71)Vt(71)"
0091.1,19832,"Fried, R. E.; Adelman, S. J.","2003JAD.....9....2F","HD19600","U(513)B(513)V(513)"
0091.2,19832,"Fried, R. E.; Adelman, S. J.","2003JAD.....9....2F","HD19600","U(533)B(533)V(533)"
0091.3,19832,"Fried, R. E.; Adelman, S. J.","2003JAD.....9....2F","HD19600","U(294)B(294)V(294)"
0091.4,19832,"Fried, R. E.; Adelman, S. J.","2003JAD.....9....2F","HD19600","U(317)B(417)V(417)"
0091.5,19832,"Fried, R. E.; Adelman, S. J.","2003JAD.....9....2F","HD19600","U(236)B(236)V(236)"
0111,19832,"Pojmanski, G.","2002AcA....52..397P",,"V(73)"
0000,20629,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(50)Bt(66)Vt(66)"
0110,20629,"Adelman, Saul J.","2006PASP..118...77A","HD21050","u(67)v(67)b(67)y(67)"
0000,22316,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(83)Bt(107)Vt(107)"
0017.1,22316,"Adelman, Saul J.","1999A&AS..134...53A","HD23383","u(86)v(86)b(86)y(86)"
0017.2,22316,"Adelman, Saul J.","1999A&AS..134...53A","HD21447","u(12)v(12)b(12)y(12)"
0000,22470,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(78)Bt(110)Vt(110)"
0006,22470,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",,"J(3)H(4)K(4)L(4)M(3)"
0019,22470,"Adelman, S. J.; Boyce, P. W.","1995A&AS..114..253A","HD23055","u(77)v(77)b(77)y(77)"
0020,22470,"Adelman, Saul J.","2000A&AS..146...13A","HD23055","u(130)v(130)b(130)y(130)"
0111,22470,"Pojmanski, G.","2002AcA....52..397P",,"V(547)"
0000,23950,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(79)Bt(94)Vt(94)"
0058,23950,"Winzer, John Ernest","1974PhDT........61W","HD23753","U(13)B(13)V(13)"
