referenceId,starId,author,bibcode,referenceStarIds
39,925913,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,"HD50040,50405"
39,928375,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,"HD50672,50936"
39,945511,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,"HD49229,56405"
39,965817,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,"HD55719,53704"
39,2963260,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,"HD53704,56456"
39,2978477,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,"HD53704,56456"
39,980398,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,HD58377
39,974627,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,"HD59154,59692"
39,3048873,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,"HD64507,65663"
39,2994446,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,"HD66192,66210"
39,2976986,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,HD67363
39,1096072,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,"HD70574,73997"
39,3019740,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,"HD71043,HD73127"
39,3044458,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,HD82578
39,3062573,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,"HD82856,84461"
39,3206422,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,"HD88981,90874"
40,560666,"Jarzebowski, T.",1960AcA....10..191J,HD71844
41,1038867,"Stepien, K.",1968ApJ...154..945S,
41,560666,"Stepien, K.",1968ApJ...154..945S,
41,1113054,"Stepien, K.",1968ApJ...154..945S,
41,216432,"Stepien, K.",1968ApJ...154..945S,
41,101981,"Stepien, K.",1968ApJ...154..945S,
43,1096072,"Wolff, S. C.; Wolff, R. J.",1971AJ.....76..422W,HD73431
43,11584640,"Wolff, S. C.; Wolff, R. J.",1971AJ.....76..422W,"HD124683,HD127964"
45,1113054,"Adelman, Saul J.",1998A&AS..128..245A,HD72359
45,515847,"Adelman, Saul J.",1998A&AS..128..245A,HD133962
45.1,777950,"Adelman, Saul J.",1998A&AS..128..245A,HD34499
45.1,1096072,"Adelman, Saul J.",1998A&AS..128..245A,HD73997
45.2,777950,"Adelman, Saul J.",1998A&AS..128..245A,HD34499
45.2,1096072,"Adelman, Saul J.",1998A&AS..128..245A,HD73997
46,722159,"Waelkens, C.",1985A&AS...61..127W,
46,1634860,"Waelkens, C.",1985A&AS...61..127W,
48,3044458,"Catalano, F. A.; Leone, F.",1994A&AS..108..595C,HD82578
48,1811341,"Catalano, F. A.; Leone, F.",1994A&AS..108..595C,HD96620
49,1679453,"Babel, J.; North, P.",1997A&A...325..195B,
50,1717685,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1991A&AS...87..481M,
50,2630671,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1991A&AS...87..481M,
51,1717685,"Sterken, C.; Manfroid, J.; Anton, K.; et al.",1993A&AS..102...79S,
51,2630671,"Sterken, C.; Manfroid, J.; Anton, K.; et al.",1993A&AS..102...79S,
52,1712363,"Adelman, S. J.; Rayle, K. E.; Pi, C.-L. M.",1999A&AS..136..379A,HD89774
52,448360,"Adelman, S. J.; Rayle, K. E.; Pi, C.-L. M.",1999A&AS..136..379A,HD97138
52,2729819,"Adelman, S. J.; Rayle, K. E.; Pi, C.-L. M.",1999A&AS..136..379A,HD151862
52,322510,"Adelman, S. J.; Rayle, K. E.; Pi, C.-L. M.",1999A&AS..136..379A,HD162132
53,1797581,"Manfroid, J.; Renson, P.",1983A&AS...51..267M,
53,3339856,"Manfroid, J.; Renson, P.",1983A&AS...51..267M,
53,3363292,"Manfroid, J.; Renson, P.",1983A&AS...51..267M,
54.1,1811341,"Maitzen, H. M.",1973A&AS...11..327M,HD97037
54.2,1811341,"Maitzen, H. M.",1973A&AS...11..327M,HD98853
55,500796,"Wolff, S. C.; Morrison, N. D.",1975PASP...87..231W,"HD120874 "
56,3312102,"Olsen, E. H.",1977IBVS.1367....1O,
57,500796,"Mikulasek, Z.; Harmanec, P.; et al.",1978BAICz..29...44M,
58,1474350,"Winzer, John Ernest",1974PhDT........61W,HD1083
58,1493452,"Winzer, John Ernest",1974PhDT........61W,HD2924
58,8278,"Winzer, John Ernest",1974PhDT........61W,HD4335
58,1464101,"Winzer, John Ernest",1974PhDT........61W,HD6397
58,24704,"Winzer, John Ernest",1974PhDT........61W,HD6564
58,223672,"Winzer, John Ernest",1974PhDT........61W,HD6829
58,84363,"Winzer, John Ernest",1974PhDT........61W,HD11335
58,6373490,"Winzer, John Ernest",1974PhDT........61W,HD13467
58,85374,"Winzer, John Ernest",1974PhDT........61W,HD14212
58,11035,"Winzer, John Ernest",1974PhDT........61W,HD15683
58,676846,"Winzer, John Ernest",1974PhDT........61W,HD23753
58,677544,"Winzer, John Ernest",1974PhDT........61W,HD23538
58,689954,"Winzer, John Ernest",1974PhDT........61W,HD23753
58,689655,"Winzer, John Ernest",1974PhDT........61W,HD27176
58,698910,"Winzer, John Ernest",1974PhDT........61W,HD27176
58,707901,"Winzer, John Ernest",1974PhDT........61W,HD27176
58,707870,"Winzer, John Ernest",1974PhDT........61W,HD27176
58,763543,"Winzer, John Ernest",1974PhDT........61W,HD33276
58,306083,"Winzer, John Ernest",1974PhDT........61W,HD31590
58,308746,"Winzer, John Ernest",1974PhDT........61W,HD38179
58,824140,"Winzer, John Ernest",1974PhDT........61W,HD37147
58,842177,"Winzer, John Ernest",1974PhDT........61W,HD38899
58,836292,"Winzer, John Ernest",1974PhDT........61W,HD38104
58,335750,"Winzer, John Ernest",1974PhDT........61W,HD38179
58,851721,"Winzer, John Ernest",1974PhDT........61W,HD40588
58,871077,"Winzer, John Ernest",1974PhDT........61W,HD43153
58,900183,"Winzer, John Ernest",1974PhDT........61W,HD46553
58,918493,"Winzer, John Ernest",1974PhDT........61W,HD50037
