starId,lambdaEff,filter,referenceId,magAverage,magError,stdError,amplitudeEff
1226565,410,21,92,5.7773,0.0007,0.0082,0.0077
1226565,465,22,92,5.5503,0.0005,0.0055,0.0056
1226565,550,23,92,5.5115,0.0006,0.0063,0.0007
1226565,350,20,93,7.0660,0.0011,0.0125,0.0095
1226565,410,21,93,5.7891,0.0008,0.0092,0.0077
1226565,465,22,93,5.5505,0.0007,0.0081,0.0056
1226565,550,23,93,5.5125,0.0008,0.0082,0.0007
1226565,350,20,97,7.0614,0.0014,0.0111,0.0095
1226565,410,21,97,5.7875,0.0010,0.0085,0.0077
1226565,465,22,97,5.5500,0.0009,0.0078,0.0056
1226565,550,23,97,5.5182,0.0009,0.0065,0.0007
1226565,350,20,98,7.0571,0.0017,0.0093,0.0095
1226565,410,21,98,5.7844,0.0018,0.0104,0.0077
1226565,465,22,98,5.5482,0.0014,0.0081,0.0056
1226565,550,23,98,5.5164,0.0015,0.0078,0.0007
1259863,510,30,0,8.2266,0.0016,0.0139,-0.0015
1259863,440,31,0,8.5706,0.0074,0.0934,-0.0175
1259863,550,32,0,8.1640,0.0091,0.1038,-0.0126
1259863,360,1,94,1.5092,0.0005,0.0053,-0.0124
1259863,440,2,94,1.5018,0.0005,0.0052,-0.0175
1259863,550,3,94,1.6012,0.0004,0.0041,-0.0126
1259863,700,4,94,1.6587,0.0006,0.0041,-0.0126
1259863,880,6,94,1.7105,0.0005,0.0035,-0.0077
1260043,510,30,0,8.5044,0.0016,0.0141,0.0136
1260043,440,31,0,8.6350,0.0101,0.1262,0.0152
1260043,550,32,0,8.4284,0.0121,0.1319,-0.0154
1260043,360,1,94,1.6553,0.0008,0.0052,0.0291
1260043,440,2,94,1.6023,0.0007,0.0049,0.0152
1260043,550,3,94,1.9072,0.0006,0.0039,-0.0154
1260043,790,4,94,2.2223,0.0136,0.1156,-0.0186
1260043,790,6,94,2.3244,0.0007,0.0037,-0.0186
1212237,510,30,0,8.4686,0.0011,0.0127,0.0572
1212237,440,31,0,8.6678,0.0091,0.1212,0.1609
1212237,550,32,0,8.3802,0.0124,0.1191,0.0259
1212237,440,2,12,8.6289,0.0089,0.0415,0.1609
1212237,550,3,12,8.3949,0.0084,0.0278,0.0259
1212237,350,20,13,9.9431,0.0025,0.0132,0.0405
1212237,410,21,13,8.8846,0.0021,0.0122,0.1966
1212237,465,22,13,8.5019,0.0016,0.0090,0.0921
1212237,550,23,13,8.4076,0.0018,0.0081,0.0259
1212237,350,20,14,9.9496,0.0015,0.0125,0.0405
1212237,410,21,14,8.8864,0.0011,0.0099,0.1966
1212237,465,22,14,8.5044,0.0008,0.0072,0.0921
1212237,550,23,14,8.4098,0.0010,0.0063,0.0259
109142,510,30,0,7.1270,0.0008,0.0090,0.0000
109142,440,31,0,7.0552,0.0040,0.0529,0.0000
109142,550,32,0,7.1216,0.0053,0.0690,0.0000
109142,350,20,19,0.3407,0.0004,0.0044,0.0000
109142,410,21,19,0.7383,0.0004,0.0041,0.0000
109142,465,22,19,0.8094,0.0003,0.0037,0.0000
109142,550,23,19,0.8661,0.0004,0.0037,0.0000
85374,510,30,0,5.5475,0.0007,0.0075,-0.0161
85374,440,31,0,5.4657,0.0018,0.0263,-0.0154
85374,550,32,0,5.5521,0.0017,0.0273,-0.0155
85374,350,20,16,-0.3443,0.0015,0.0148,-0.0301
85374,410,21,16,0.1656,0.0009,0.0086,-0.0179
85374,465,22,16,0.2236,0.0007,0.0066,-0.0190
85374,550,23,16,0.2552,0.0007,0.0066,-0.0155
1298708,510,30,0,5.9216,0.0007,0.0069,-0.0058
1298708,440,31,0,6.0364,0.0025,0.0303,-0.0058
1298708,550,32,0,5.8737,0.0030,0.0318,0.0020
1298708,350,20,19,1.1891,0.0007,0.0065,-0.0002
1298708,410,21,19,1.1907,0.0007,0.0054,-0.0043
1298708,465,22,19,1.0274,0.0007,0.0061,-0.0007
1298708,550,23,19,0.9603,0.0008,0.0057,0.0020
10680,510,30,0,7.8788,0.0010,0.0117,0.0000
10680,440,31,0,7.8392,0.0054,0.0696,0.0000
10680,550,32,0,7.8719,0.0071,0.0924,0.0000
10680,350,20,17,1.9285,0.0008,0.0081,0.0000
10680,410,21,17,1.4719,0.0004,0.0038,0.0000
10680,465,22,17,1.3617,0.0003,0.0032,0.0000
10680,550,23,17,1.3881,0.0003,0.0031,0.0000
630338,510,30,0,5.7559,0.0008,0.0055,0.0400
630338,440,31,0,5.6534,0.0028,0.0229,0.0487
630338,550,32,0,5.7631,0.0044,0.0348,0.0312
630338,360,1,91,-1.2270,0.0003,0.0070,0.0712
630338,440,2,91,-0.7413,0.0003,0.0052,0.0487
630338,550,3,91,-0.6358,0.0003,0.0062,0.0312
630338,360,1,91,-1.2190,0.0005,0.0096,0.0712
630338,440,2,91,-0.7465,0.0003,0.0059,0.0487
630338,550,3,91,-0.6341,0.0004,0.0069,0.0312
630338,360,1,91,-1.2175,0.0004,0.0052,0.0712
630338,440,2,91,-0.7456,0.0002,0.0034,0.0487
630338,550,3,91,-0.6336,0.0003,0.0048,0.0312
630338,360,1,91,-1.2146,0.0004,0.0067,0.0712
630338,440,2,91,-0.7459,0.0004,0.0069,0.0487
630338,550,3,91,-0.6348,0.0004,0.0063,0.0312
